Article_Title,Abstract,Lead_Paragraph
"Their America Is Vanishing. Like Trump, They Insist They Were Cheated.","The white majority is fading, the economy is changing and there’s a pervasive sense of loss in districts where Republicans fought the outcome of the 2020 election.","When Representative Troy Nehls of Texas voted last year to reject Donald J. Trump’s electoral defeat, many of his constituents back home in Fort Bend County were thrilled."
Why Jesus Loved Friendship,A vulnerable God is an essential part of the Christian story.,"The enduring significance of Christmas is that it represents perhaps the most distinctive feature of the Christian faith — the concept of the incarnation, the belief that God took human form in Jesus. Theologians refer to the “hypostatic union” of Jesus, meaning the mysterious fusion of his divinity and his humanity."
"In a Race Rife With Antisemitism Concerns, Mastriano Adviser Calls Shapiro ‘At Best a Secular Jew’","Mr. Mastriano, a far-right Republican who promotes Christian power and disdains the separation of church and state, has alarmed a broad swath of Pennsylvania’s Jewish community.","A senior adviser to Doug Mastriano, the Republican nominee for governor in Pennsylvania, on Friday seemed to openly question the faith of Mr. Mastriano’s Democratic opponent, Josh Shapiro, who is Jewish, in a contest that has been shaped more by concerns over antisemitism than perhaps any other major race in the country."
How to Fight Back Against the Inhumanity of Modern Work,"Digital technology has transformed work, often for the worse. Here are some solutions.","“It is easy for me to imagine,” wrote Wendell Berry in his 2000 book, “Life Is a Miracle,” “that the next great division of the world will be between people who wish to live as creatures and people who wish to live as machines.” I quote this a lot because so many of our social problems spring from a resistance to the glorious yet limited state of being human. And increasingly our work and workplaces are shaped by this same inclination."
Same-Sex Marriage Is a Religious Freedom,"If the law allows same-sex couples to be treated differently from other couples, then our religious freedom to be married is not complete. ","As an Episcopal priest at a parish in Brooklyn, I’ve officiated at scores of weddings. At each one, I stand in wonder at the divine presence that envelops couples as they make solemn vows to each other. At my own wedding, though, I learned that there is a difference between seeing and doing. Now it was me standing across from another human being, making unthinkably difficult promises, holding his hand as we committed to walking into the vast, unknown cloud of the future together."
How Catholics Became Prisoners of Vatican II,"As the Second Vatican Council turns 60, it looks unsuccessful and irreversible.","The Second Vatican Council, the great revolution in the life of the modern Catholic Church, opened 60 years ago this week in Rome. So much of that 1960s-era world has passed away, but the council is still with us; indeed for a divided church its still-unfolding consequences cannot be escaped."
"Teaching My Kids How to Be Jewish, One Plate of Apples at a Time",The days of awe in my semiobservant household.,"As my kids get older, I feel a greater sense of urgency about teaching them to be Jewish. And as Rosh Hashana approached this year, I fretted over how I was going to impart the deep meaning of the days of awe to them at home."
French Feminist Rabbi Captivates Multifaith Crowds With Musings on Mortality,"With Paris locked down over Passover, a rabbi started holding weekly talks over Zoom about Jewish texts. Thousands have tuned in to hear her reflections on death. “She is my rabbi,” said an atheist.",PARIS — Rabbi Delphine Horvilleur thinks a lot about death.
Dating Is Broken. Going Retro Could Fix It.,Old-fashioned courtship is having a moment.,"Among the traditional rites of an All-American high school experience is the taking — and judging — of yearbook photos, and in this my all-girls Orthodox Jewish school was no exception. Our dialogue as we swapped prints was more “Fiddler on the Roof” than “Sweet Valley High”: “Are you going to use that for your shidduch résumé?”"
"Why Religious Freedom Matters, Even if You’re Not Religious","“If speech is popular, it doesn’t really need constitutional protection,” David French says.","When David French and I first met around 2010, our friendship felt unlikely. He was deeply involved in Republican politics and had served in Iraq. I had never voted Republican and was committed to nonviolence. But his courage of conviction and kindness amid disagreement made us fast friends. (David became an independent in 2016, after Donald Trump received the Republican presidential nomination.)"
Catholics Outnumber Protestants in Northern Ireland for the First Time,"Newly released census results may fuel calls for a referendum on uniting Ireland, experts say, but not right away.","LONDON — For the first time, Catholics outnumber Protestants in Northern Ireland, census figures released on Thursday show — confirmation of a long-anticipated but still striking shift with implications for the region’s future."
Yeshiva University Halts All Student Clubs to Block L.G.B.T.Q. Group,"Earlier in the week, the U.S. Supreme Court allowed a ruling to stand for now that required the university to recognize the group.","Yeshiva University abruptly announced on Friday that it had placed all undergraduate club activities on hold, the latest maneuver in the legal battle by the Modern Orthodox Jewish institution to keep from recognizing an L.G.B.T.Q. student group."
